gene_id	transcript_id	gene_name	gene_length	CDS
ENSG00000233954.6	ENST00000483273.2	UQCRHL	2180	1700-1975
ENSG00000065526.12	ENST00000375759.8	SPEN	12385	362-11356
ENSG00000116809.12	ENST00000375733.6	ZBTB17	2770	240-2672
ENSG00000183888.4	ENST00000329454.2	SRARP	3039	69-578
ENSG00000173641.17	ENST00000311890.13	HSPB7	2892	828-1340
ENSG00000186510.12	ENST00000375692.5	CLCNKA	2581	129-2189
ENSG00000184908.18	ENST00000375679.9	CLCNKB	2562	107-2170
ENSG00000185519.9	ENST00000375662.5	FAM131C	1720	210-1052
ENSG00000142627.13	ENST00000358432.8	EPHA2	3946	138-3068
ENSG00000142632.17	ENST00000270747.8	ARHGEF19	3322	181-2589
ENSG00000132881.12	ENST00000375599.8	CPLANE2	1574	442-1218
ENSG00000037637.11	ENST00000375592.8	FBXO42	6227	244-2397
ENSG00000055070.17	ENST00000401088.9	SZRD1	3480	17-475
ENSG00000187144.11	ENST00000335496.5	SPATA21	2015	484-1893
ENSG00000157191.20	ENST00000337132.10	NECAP2	2018	39-830
ENSG00000219481.10	ENST00000430580.6	NBPF1	5932	889-4308
ENSG00000058453.17	ENST00000375541.10	CROCC	6660	89-6142
ENSG00000117122.14	ENST00000375535.4	MFAP2	1045	76-627
ENSG00000159363.19	ENST00000326735.13	ATP13A2	3996	191-3733
ENSG00000288636.1	ENST00000617114.5	AL049569.3	312	1-312
ENSG00000117118.10	ENST00000375499.8	SDHB	1015	14-856
ENSG00000117115.13	ENST00000375486.9	PADI2	4361	81-2078
ENSG00000142623.11	ENST00000375471.5	PADI1	3846	91-2082
ENSG00000142619.4	ENST00000375460.3	PADI3	3189	41-2035
ENSG00000159339.13	ENST00000375448.4	PADI4	2267	27-2018
ENSG00000276747.1	ENST00000619609.1	PADI6	2396	51-2135
ENSG00000179051.14	ENST00000375436.9	RCC2	4040	142-1710
ENSG00000074964.17	ENST00000361221.8	ARHGEF10L	4625	297-4136
ENSG00000117148.8	ENST00000375406.2	ACTL8	1841	197-1297
ENSG00000117154.12	ENST00000251296.4	IGSF21	1892	332-1735
ENSG00000179023.8	ENST00000400664.2	KLHDC7A	5145	1-2334
ENSG00000009709.12	ENST00000420770.7	PAX7	6213	759-2276
ENSG00000179002.5	ENST00000375371.3	TAS1R2	2542	23-2542
ENSG00000159423.17	ENST00000375341.8	ALDH4A1	3139	33-1724
ENSG00000169991.11	ENST00000455833.7	IFFO2	6179	345-1898
ENSG00000127481.15	ENST00000375254.8	UBR4	15892	19-15570
ENSG00000127463.15	ENST00000477853.6	EMC1	6640	16-2997
ENSG00000053372.5	ENST00000330263.5	MRTO4	2049	32-751
ENSG00000211454.15	ENST00000420396.3	AKR7L	1240	78-1070
ENSG00000162482.5	ENST00000361640.5	AKR7A3	1215	62-1057
ENSG00000053371.12	ENST00000235835.7	AKR7A2	1362	23-1102
ENSG00000040487.13	ENST00000375153.8	SLC66A1	2175	643-1518
ENSG00000077549.19	ENST00000674449.1	CAPZB	6180	40-231
ENSG00000173436.15	ENST00000322753.7	MICOS10	3723	68-304
ENSG00000158747.15	ENST00000615215.4	NBL1	2160	186-833
ENSG00000270136.6	ENST00000602384.5	MICOS10-NBL1	999	1-216
ENSG00000158748.4	ENST00000289753.2	HTR6	3800	880-2202
ENSG00000162542.13	ENST00000294543.10	TMCO4	2974	243-2147
ENSG00000178828.7	ENST00000375121.4	RNF186	1255	183-866
ENSG00000169914.6	ENST00000375120.4	OTUD3	6515	120-1316
ENSG00000188784.4	ENST00000375116.3	PLA2G2E	785	59-487
ENSG00000188257.11	ENST00000400520.7	PLA2G2A	974	271-705
ENSG00000127472.11	ENST00000375108.4	PLA2G5	1918	283-699
ENSG00000117215.15	ENST00000375105.8	PLA2G2D	2651	39-476
ENSG00000158786.5	ENST00000375102.4	PLA2G2F	2721	106-741
ENSG00000187980.6	ENST00000429261.2	PLA2G2C	3249	62-511
ENSG00000162543.6	ENST00000375099.4	UBXN10	5562	74-916
ENSG00000158816.15	ENST00000289815.12	VWA5B1	4475	197-3844
ENSG00000162545.6	ENST00000375078.4	CAMK2N1	2326	832-1068
ENSG00000090432.7	ENST00000264198.5	MUL1	2428	128-1186
ENSG00000183114.8	ENST00000332947.6	FAM43B	2448	402-1391
ENSG00000158825.6	ENST00000375071.4	CDA	809	34-474
ENSG00000158828.8	ENST00000321556.5	PINK1	2657	92-1837
ENSG00000244038.11	ENST00000415136.6	DDOST	2126	144-1514
ENSG00000117245.12	ENST00000247986.2	KIF17	3969	312-3401
ENSG00000189410.12	ENST00000444387.7	SH2D5	3898	566-1837
ENSG00000127483.19	ENST00000438032.6	HP1BP3	6406	214-1875
ENSG00000075151.20	ENST00000602326.5	EIF4G3	6196	585-5360
ENSG00000117298.16	ENST00000415912.6	ECE1	5099	127-2391
ENSG00000142794.18	ENST00000318220.10	NBPF3	4401	352-513
ENSG00000162551.14	ENST00000374840.8	ALPL	2536	200-1774
ENSG00000076864.19	ENST00000290101.8	RAP1GAP	3584	259-2337
ENSG00000090686.16	ENST00000308271.14	USP48	4419	193-3300
ENSG00000187942.12	ENST00000344642.7	LDLRAD2	4016	188-1006
ENSG00000142798.20	ENST00000374695.8	HSPG2	14341	94-13269
ENSG00000219073.8	ENST00000400277.2	CELA3B	996	1-543
ENSG00000142789.20	ENST00000290122.8	CELA3A	906	19-831
ENSG00000070831.17	ENST00000648594.1	CDC42	10598	180-755
ENSG00000162552.15	ENST00000290167.11	WNT4	3968	176-1231
ENSG00000184677.18	ENST00000404138.5	ZBTB40	8992	512-4231
ENSG00000070886.12	ENST00000166244.8	EPHA8	5019	148-3165
ENSG00000173372.17	ENST00000374642.8	C1QA	1091	83-820
ENSG00000159189.12	ENST00000374639.7	C1QC	1183	119-856
ENSG00000173369.17	ENST00000509305.6	C1QB	1098	92-847
ENSG00000133216.16	ENST00000400191.7	EPHB2	10816	19-3186
ENSG00000215906.8	ENST00000426928.6	LACTBL1	1641	1-1641
ENSG00000227868.6	ENST00000566855.4	TEX46	512	80-445
ENSG00000004487.17	ENST00000400181.9	KDM1A	3085	130-2760
ENSG00000169641.13	ENST00000302291.8	LUZP1	8898	803-4033
ENSG00000179546.4	ENST00000374619.1	HTR1D	2835	511-1644
ENSG00000125944.21	ENST00000302271.11	HNRNPR	7751	84-1985
ENSG00000125945.15	ENST00000314011.9	ZNF436	4465	532-1944
ENSG00000204219.11	ENST00000450454.7	TCEA3	1719	116-1162
ENSG00000088280.19	ENST00000336689.8	ASAP3	4051	47-2758
ENSG00000007968.7	ENST00000361729.3	E2F2	5196	441-1754
ENSG00000117318.9	ENST00000374561.6	ID3	950	76-435
ENSG00000142676.14	ENST00000643754.2	RPL11	1017	19-555
ENSG00000011007.12	ENST00000418390.6	ELOA	5154	272-2668
ENSG00000057757.10	ENST00000246151.9	PITHD1	1590	99-734
ENSG00000011009.11	ENST00000374514.8	LYPLA2	1635	133-828
ENSG00000117308.15	ENST00000617979.5	GALE	1516	120-1166
ENSG00000117305.15	ENST00000374490.8	HMGCL	1570	15-992
ENSG00000179163.12	ENST00000374479.4	FUCA1	2043	5-1405
ENSG00000188822.8	ENST00000374472.5	CNR2	5265	163-1245
ENSG00000189266.13	ENST00000647887.1	PNRC2	2428	440-859
ENSG00000188529.15	ENST00000492112.3	SRSF10	7656	73-861
ENSG00000142661.19	ENST00000374434.4	MYOM3	5760	124-4437
ENSG00000142677.4	ENST00000270800.2	IL22RA1	2817	59-1783
ENSG00000185436.12	ENST00000327535.6	IFNLR1	4566	42-1604
ENSG00000158055.16	ENST00000361548.9	GRHL3	2834	196-2004
ENSG00000001460.18	ENST00000374409.5	STPG1	2804	256-1260
ENSG00000001461.17	ENST00000003912.7	NIPAL3	5481	716-1690
ENSG00000117602.12	ENST00000374395.9	RCAN3	6863	375-1100
ENSG00000184454.7	ENST00000374392.3	NCMAP	3980	91-399
ENSG00000133226.17	ENST00000323848.14	SRRM1	3735	26-2740
ENSG00000169504.15	ENST00000374379.9	CLIC4	4253	108-869
ENSG00000020633.19	ENST00000399916.5	RUNX3	4340	440-1729
ENSG00000117614.10	ENST00000236273.9	SYF2	1757	36-767
ENSG00000117616.18	ENST00000473314.6	RSRP1	3034	1193-1873
ENSG00000187010.21	ENST00000622561.4	RHD	3007	63-1358
ENSG00000183726.11	ENST00000374358.5	TMEM50A	2266	137-610
ENSG00000188672.19	ENST00000349320.7	RHCE	1810	390-1595
ENSG00000204178.11	ENST00000374343.5	MACO1	3940	203-2197
ENSG00000157978.12	ENST00000374338.5	LDLRAP1	2914	94-1020
ENSG00000117643.14	ENST00000611903.4	MAN1C1	4647	961-2049
ENSG00000162430.17	ENST00000361547.7	SELENON	4314	39-1811
ENSG00000255054.3	ENST00000527604.1	AL020996.2	334	1-132
ENSG00000117640.18	ENST00000466284.1	MTFR1L	3262	1583-2200
ENSG00000127423.11	ENST00000374298.4	AUNIP	2161	101-1174
ENSG00000182749.6	ENST00000374296.4	PAQR7	3023	668-1708
ENSG00000117632.23	ENST00000399728.5	STMN1	1712	365-814
ENSG00000158006.14	ENST00000374282.8	PAFAH2	3487	87-1265
ENSG00000158008.10	ENST00000374280.4	EXTL1	4020	873-2903
ENSG00000158014.15	ENST00000374276.4	SLC30A2	3249	223-1341
ENSG00000158022.7	ENST00000374272.4	TRIM63	1770	137-1198
ENSG00000175087.10	ENST00000374271.8	PDIK1L	4279	288-1313
ENSG00000197245.6	ENST00000374268.5	FAM110D	2799	129-944
ENSG00000282872.2	ENST00000634842.2	C1orf232	1085	465-1025
ENSG00000236782.7	ENST00000448923.2	AL391650.1	1468	161-352
ENSG00000142684.9	ENST00000270812.6	ZNF593	698	43-513
ENSG00000142675.18	ENST00000531191.5	CNKSR1	2673	1008-2375
ENSG00000188782.9	ENST00000456354.7	CATSPER4	1867	27-1445
ENSG00000130695.15	ENST00000252992.8	CEP85	3935	132-2420
ENSG00000142669.15	ENST00000319041.6	SH3BGRL3	768	35-301
ENSG00000158062.20	ENST00000314675.11	UBXN11	2254	81-1283
ENSG00000169442.9	ENST00000374213.3	CD52	467	61-246
ENSG00000176092.15	ENST00000475866.3	CRYBG2	6259	32-5989
ENSG00000176083.18	ENST00000436292.5	ZNF683	1712	122-1696
ENSG00000131914.11	ENST00000326279.11	LIN28A	3975	76-705
ENSG00000117682.17	ENST00000434391.6	DHDDS	3338	151-372
ENSG00000198830.11	ENST00000361427.6	HMGN2	1940	174-446
ENSG00000117676.14	ENST00000374163.5	RPS6KA1	3202	60-674
ENSG00000117713.20	ENST00000324856.13	ARID1A	8595	390-7247
ENSG00000060642.11	ENST00000674273.1	PIGV	4972	683-2164
ENSG00000204160.12	ENST00000374142.9	ZDHHC18	5045	118-1284
ENSG00000175793.12	ENST00000339276.6	SFN	1308	65-811
ENSG00000142751.15	ENST00000374135.9	GPN2	4665	188-1120
ENSG00000198746.13	ENST00000361720.10	GPATCH3	2125	26-1603
ENSG00000090273.14	ENST00000321265.10	NUDC	1792	107-1102
ENSG00000131910.5	ENST00000254227.4	NR0B2	1165	36-809
ENSG00000175707.9	ENST00000320567.6	KDF1	1855	152-1348
ENSG00000253368.4	ENST00000522111.3	TRNP1	1961	96-779
ENSG00000158246.8	ENST00000289166.6	TENT5B	2382	181-1458
ENSG00000090020.11	ENST00000263980.8	SLC9A1	4737	792-3239
ENSG00000142784.16	ENST00000319394.8	WDTC1	4706	420-2453
ENSG00000186501.14	ENST00000464720.5	TMEM222	1665	51-269
ENSG00000142765.18	ENST00000543823.1	SYTL1	2229	463-2151
ENSG00000142733.17	ENST00000357582.3	MAP3K6	4438	365-4231
ENSG00000142748.13	ENST00000270879.9	FCN3	1032	7-906
ENSG00000174950.11	ENST00000374027.7	CD164L2	1457	65-586
ENSG00000181773.7	ENST00000374024.4	GPR3	2137	122-1114
ENSG00000158195.11	ENST00000618852.5	WASF2	5681	226-1722
ENSG00000126705.15	ENST00000374011.6	AHDC1	6438	970-5781
ENSG00000000938.13	ENST00000374005.8	FGR	2637	198-1787
ENSG00000126709.15	ENST00000362020.4	IFI6	828	109-513
ENSG00000009780.16	ENST00000373954.11	FAM76A	3579	121-1044
ENSG00000117758.14	ENST00000373943.9	STX12	3034	90-920
ENSG00000117751.18	ENST00000373931.8	PPP1R8	2651	796-1425
ENSG00000130775.16	ENST00000373921.8	THEMIS2	2713	29-1960
ENSG00000117748.10	ENST00000373912.8	RPA2	1584	133-945
ENSG00000130768.15	ENST00000548116.5	SMPDL3B	1913	156-464
ENSG00000158156.9	ENST00000676017.1	XKR8	2512	121-744
ENSG00000158161.16	ENST00000373871.8	EYA3	5999	156-1877
ENSG00000169403.12	ENST00000539896.1	PTAFR	4191	336-1364
ENSG00000126698.11	ENST00000263697.6	DNAJC8	1763	32-793
ENSG00000130770.18	ENST00000465645.1	ATP5IF1	1855	31-213
ENSG00000130766.5	ENST00000253063.4	SESN2	3462	331-1773
ENSG00000130772.14	ENST00000373842.9	MED18	1829	208-834
ENSG00000204138.13	ENST00000373839.8	PHACTR4	6048	125-2233
ENSG00000180198.16	ENST00000373833.10	RCC1	2844	286-1551
